yrsurv,WEIGHT_L,WEIGHT_A,GEMHHINC,knowent,opport,suskill,fearfail,futsup,discent,busang,gender,age9c,hhsize,ushhinc,usreduc,ESTBBUSO,IPACTLD_ALL,Region,race,TEA,TEANEC,TEAOPP
2011,,0.9469501496,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,7.0,2.0,3,2,0,0,8,-2,0,0,0
2011,1.629181196,1.692944665,3467,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,2,5.0,1.0,5,3,0,0,8,1,0,0,0
2011,2.545693615,2.645327871,3467,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1,3.0,1.0,5,5,0,1,8,4,0,0,0
2011,1.482190481,1.540200975,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.0,1,2,0,0,8,-2,0,0,0
2011,1.060339304,1.101839238,-2,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2,6.0,2.0,-2,4,1,0,8,1,0,0,0
2011,2.545693615,2.645327871,68100,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,1,3.0,2.0,6,3,0,0,8,1,0,0,0
2011,1.482190481,1.540200975,33,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2.0,-2.0,1,5,0,0,8,1,0,0,0
2011,1.629181196,1.692944665,68100,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,2,5.0,2.0,6,5,0,0,8,1,0,0,0
2011,1.740961524,1.80909989,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.0,2.0,-2,5,0,0,8,1,0,0,0
2011,1.458480601,1.51556313,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,-2,3,0,0,8,1,0,0,0
2011,2.545693615,2.645327871,68100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,6,3,0,0,8,1,0,0,0
2011,1.482190481,1.540200975,-2,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,2.0,1.0,-1,3,0,0,8,1,0,0,0
2011,,0.9469501496,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,3,2,0,0,8,1,0,0,0
2011,1.294497241,1.345161732,68100,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1,4.0,5.0,7,5,1,1,8,4,0,0,0
2011,0.8491569176,0.8823915208,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,4.0,4.0,6,6,0,1,8,1,0,0,0
2011,1.458480601,1.51556313,68100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,8,6,1,0,8,1,0,0,0
2011,0.8491569176,0.8823915208,68100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,4.0,4.0,6,3,0,0,8,1,0,0,0
2011,,1.34646185,33,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2,7.0,2.0,2,2,0,0,8,1,1,0,1
2011,0.8491569176,0.8823915208,3467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,5.0,4,3,0,0,8,1,0,0,0
2011,1.060339304,1.101839238,3467,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,2,6.0,2.0,5,-1,0,0,8,1,0,0,0
2011,0.8491569176,0.8823915208,-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,4.0,5.0,-2,5,0,0,8,1,0,0,0
2011,1.060339304,1.101839238,33,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,6.0,-2.0,1,3,0,0,8,-2,0,0,0
2011,1.458480601,1.51556313,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,3,4,0,0,8,1,0,0,0
2011,,0.9469501496,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0,1.0,3,3,0,0,8,1,0,0,0
2011,1.629181196,1.692944665,-2,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,2,5.0,1.0,-2,3,0,1,8,1,0,0,0
2011,,1.34646185,3467,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,4,4,0,0,8,1,0,0,0
2011,,0.9469501496,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,1.0,3,2,0,0,8,1,0,0,0
2011,,0.9469501496,3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0,2.0,4,3,0,0,8,1,0,0,0
2011,1.740961524,1.80909989,3467,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1,5.0,3.0,5,4,0,1,8,1,0,0,0
2011,1.294497241,1.345161732,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4.0,3.0,7,4,0,1,8,1,0,0,0
2011,0.8491569176,0.8823915208,33,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,2,4.0,4.0,3,3,0,0,8,-2,0,0,0
2011,1.740961524,1.80909989,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,5.0,2.0,3,2,0,0,8,-2,0,0,0
2011,,0.9469501496,68100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,8,6,1,0,8,1,0,0,0
2011,1.515641014,1.574960707,33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,3.0,5.0,2,5,0,0,8,1,0,0,0
2011,1.740961524,1.80909989,-2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,5.0,3.0,-2,5,0,0,8,1,0,0,0
2011,1.515641014,1.574960707,33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,3.0,2.0,1,4,0,0,8,1,0,0,0
2011,,0.9469501496,-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,7.0,1.0,-2,2,0,0,8,1,0,0,0
2011,1.458480601,1.51556313,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,6.0,2.0,3,5,0,0,8,1,0,0,0
2011,1.515641014,1.574960707,3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,5.0,4,-1,0,0,8,1,0,0,0
2011,1.515641014,1.574960707,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3.0,2.0,2,5,0,0,8,-2,0,0,0
2011,1.629181196,1.692944665,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,5.0,2.0,-2,3,0,0,8,-2,1,0,1
2011,,1.34646185,3467,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,7.0,1.0,4,4,0,0,8,1,0,0,0
2011,,1.34646185,33,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2,7.0,1.0,1,3,1,0,8,4,0,0,0
2011,1.515641014,1.574960707,3467,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2,3.0,5.0,5,4,0,0,8,1,0,0,0
2011,1.515641014,1.574960707,33,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,2,3.0,2.0,1,3,0,0,8,4,0,0,0
2011,1.629181196,1.692944665,68100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,5.0,2.0,6,5,0,0,8,1,0,0,0
2011,1.060339304,1.101839238,68100,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,6.0,2.0,6,-1,0,0,8,1,0,0,0
2011,,1.34646185,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,-2,3,0,0,8,1,0,0,0
2011,1.482190481,1.540200975,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2.0,5.0,1,3,0,0,8,4,0,0,0
2011,,0.9469501496,68100,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,6,3,0,0,8,4,0,0,0
2011,,1.34646185,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,2,4,0,0,8,1,0,0,0
2011,1.629181196,1.692944665,3467,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,5.0,7.0,4,4,0,0,8,1,1,1,0
2011,,1.34646185,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,7.0,1.0,3,3,0,0,8,1,0,0,0
2011,,0.9469501496,3467,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,1.0,4,4,0,0,8,1,0,0,0
2011,1.740961524,1.80909989,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5.0,3.0,-2,5,0,0,8,1,0,0,0
2011,1.060339304,1.101839238,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,3.0,-2,-2,0,0,8,-2,0,0,0
2011,1.060339304,1.101839238,-2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,6.0,2.0,-1,4,0,0,8,1,0,0,0
2011,,0.9469501496,33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,7.0,1.0,3,6,0,0,8,1,0,0,0
2011,1.458480601,1.51556313,68100,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,6.0,2.0,7,6,1,0,8,1,0,0,0
2011,1.458480601,1.51556313,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,6.0,1.0,1,2,0,0,8,-2,0,0,0
2011,,1.34646185,3467,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,7.0,2.0,4,3,0,0,8,1,0,0,0
2011,2.545693615,2.645327871,33,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,1,5,0,1,8,1,0,0,0
2011,1.740961524,1.80909989,3467,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,5.0,3.0,4,5,1,0,8,1,0,0,0
2011,1.458480601,1.51556313,3467,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,6.0,4.0,4,6,0,0,8,1,0,0,0
2011,0.8491569176,0.8823915208,68100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,4.0,4.0,6,2,0,0,8,1,0,0,0
2011,0.8491569176,0.8823915208,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,1.0,1,3,0,0,8,1,0,0,0
2011,,1.34646185,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,7.0,1.0,4,4,0,0,8,1,0,0,0
2011,0.8491569176,0.8823915208,68100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,4.0,3.0,6,5,0,1,8,1,0,0,0
2011,1.060339304,1.101839238,3467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,6.0,4.0,4,5,0,0,8,1,0,0,0
2011,1.515641014,1.574960707,3467,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,3.0,3.0,4,5,0,0,8,1,0,0,0
2011,1.060339304,1.101839238,3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,2.0,4,6,0,0,8,1,0,0,0
2011,1.629181196,1.692944665,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,5.0,1.0,3,4,0,0,8,1,0,0,0
2011,1.629181196,1.692944665,3467,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,5.0,4.0,5,6,1,0,8,1,0,0,0
2011,1.740961524,1.80909989,3467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.0,2.0,5,2,0,0,8,1,0,0,0
2011,,1.34646185,-2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2,7.0,2.0,-2,3,0,0,8,1,0,0,0
2011,1.060339304,1.101839238,-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,6.0,2.0,-2,4,0,0,8,1,0,0,0
2011,1.294497241,1.345161732,68100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4.0,4.0,6,6,0,0,8,-2,0,0,0
2011,0.8491569176,0.8823915208,-2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,4.0,2.0,-2,6,0,0,8,1,0,0,0
2011,1.482190481,1.540200975,33,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1,2.0,3.0,3,3,0,0,8,4,0,0,0
2011,0.8491569176,0.8823915208,68100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4.0,6.0,6,5,0,0,8,1,0,0,0
2011,1.515641014,1.574960707,33,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,2,3.0,4.0,3,-1,0,0,8,1,1,0,1
2011,0.8491569176,0.8823915208,-2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2,4.0,5.0,-2,5,0,0,8,1,1,0,1
2011,1.515641014,1.574960707,3467,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2,3.0,6.0,5,4,1,0,8,1,0,0,0
2011,0.8491569176,0.8823915208,68100,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,4.0,4.0,7,5,0,0,8,1,0,0,0
2011,1.294497241,1.345161732,33,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,4.0,3.0,3,4,1,0,8,1,1,1,0
2011,2.545693615,2.645327871,68100,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,3.0,2.0,7,5,0,0,8,1,1,0,1
2011,0.8491569176,0.8823915208,68100,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,2,4.0,5.0,8,2,0,0,8,1,0,0,0
2011,0.8491569176,0.8823915208,3467,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,4.0,2.0,4,6,0,0,8,1,0,0,0
2011,2.545693615,2.645327871,3467,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1,3.0,3.0,5,4,0,0,8,1,0,0,0
