yrsurv,WEIGHT_L,WEIGHT_A,GEMHHINC,knowent,opport,suskill,fearfail,futsup,discent,busang,gender,age9c,hhsize,ushhinc,usreduc,ESTBBUSO,IPACTLD_ALL,Region,race,TEA,TEANEC,TEAOPP
2011,1.351158875,1.404041008,33,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,3.0,1.0,3,5,0,1,3,1,1,0,1
2011,1.814715931,1.885740924,33,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,2,5.0,2.0,2,2,0,0,3,-2,0,0,0
2011,2.920066031,3.034352606,68100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2.0,5.0,9,3,0,0,3,-2,0,0,0
2011,1.091209615,1.133917763,33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,6.0,1.0,1,3,0,0,3,-2,0,0,0
2011,,1.060757901,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,-2,4,0,0,3,-2,0,0,0
2011,1.351158875,1.404041008,-2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3.0,3.0,-2,6,1,0,3,-2,0,0,0
2011,1.174028744,1.219978295,3467,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,2,4.0,6.0,5,3,0,0,3,-2,0,0,0
2011,1.653158243,1.717860134,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,2.0,-2,6,0,0,3,-2,0,0,0
2011,2.920066031,3.034352606,33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,2.0,3.0,3,2,0,0,3,-2,0,0,0
2011,1.351158875,1.404041008,68100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,3.0,2.0,8,5,0,1,3,1,0,0,0
2011,,1.060757901,33,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,3,4,0,0,3,1,0,0,0
2011,1.814715931,1.885740924,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,5.0,4.0,-2,3,0,0,3,1,0,0,0
2011,1.392473269,1.446972379,-2,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,1,2.0,4.0,-2,5,0,0,3,-2,0,0,0
2011,1.653158243,1.717860134,68100,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,3.0,3.0,8,6,0,0,3,-2,0,0,0
2011,,1.165379539,68100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0,1.0,6,1,0,0,3,-2,0,0,0
2011,1.278049487,1.328070239,33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,6.0,1.0,3,3,0,1,3,4,0,0,0
2011,1.278049487,1.328070239,3467,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,6.0,2.0,4,2,0,0,3,-2,0,0,0
2011,1.278049487,1.328070239,68100,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,7,4,1,0,3,-2,0,0,0
2011,1.653158243,1.717860134,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3.0,2.0,4,6,0,0,3,-2,0,0,0
2011,1.174028744,1.219978295,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,4.0,2.0,6,6,0,0,3,-2,0,0,0
2011,1.392473269,1.446972379,68100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,5.0,9,3,0,1,3,-2,0,0,0
2011,1.011199674,1.050776363,68100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,4.0,3.0,9,6,0,1,3,-2,0,0,0
2011,,1.060757901,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,2,4,0,0,3,4,0,0,0
2011,1.091209615,1.133917763,68100,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2,6.0,2.0,7,5,1,0,3,1,0,0,0
2011,1.174028744,1.219978295,-2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,4.0,4.0,-2,-1,0,0,3,-2,0,0,0
2011,1.278049487,1.328070239,68100,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1,6.0,2.0,7,3,0,0,3,-2,0,0,0
2011,1.174028744,1.219978295,3467,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,2,4.0,8.0,4,3,0,0,3,1,0,0,0
2011,1.405411682,1.460417181,3467,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,5.0,1.0,5,3,0,0,3,-2,0,0,0
2011,1.278049487,1.328070239,68100,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,6.0,2.0,6,6,0,1,3,4,0,0,0
2011,1.814715931,1.885740924,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.0,1.0,1,5,0,0,3,-2,0,0,0
2011,1.653158243,1.717860134,68100,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,3.0,2.0,7,6,0,0,3,1,0,0,0
2011,,1.165379539,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,1.0,9,5,1,0,3,-2,0,0,0
2011,,1.165379539,3467,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,5,4,1,0,3,-2,0,0,0
2011,,1.060757901,33,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,2,7.0,1.0,3,6,0,0,3,-2,0,0,0
2011,1.091209615,1.133917763,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,6.0,1.0,1,2,1,0,3,1,0,0,0
2011,,1.165379539,-2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,7.0,2.0,-2,6,0,0,3,-2,1,1,0
2011,,1.165379539,68100,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1,7.0,2.0,7,6,0,0,3,4,0,0,0
2011,1.392473269,1.446972379,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,2.0,1.0,2,3,0,0,3,-2,0,0,0
2011,1.814715931,1.885740924,3467,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,2,5.0,1.0,5,4,0,0,3,-2,0,0,0
2011,1.011199674,1.050776363,68100,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,4.0,4.0,8,5,0,0,3,-2,1,0,1
2011,1.091209615,1.133917763,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,6.0,1.0,1,2,0,0,3,-2,0,0,0
2011,,1.165379539,-2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,-2,6,0,0,3,-2,0,0,0
2011,1.351158875,1.404041008,68100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,6,4,0,0,3,1,0,0,0
2011,1.091209615,1.133917763,68100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,6.0,2.0,6,-1,0,0,3,1,0,0,0
2011,1.392473269,1.446972379,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2.0,4.0,3,4,0,0,3,1,0,0,0
2011,,1.060757901,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,-1,2,0,0,3,-2,0,0,0
2011,1.091209615,1.133917763,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,6.0,2.0,-2,-2,0,0,3,-2,0,0,0
2011,1.392473269,1.446972379,68100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,2.0,2.0,6,5,0,0,3,-2,0,0,0
2011,,1.060757901,33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,7.0,1.0,2,6,0,0,3,4,0,0,0
2011,1.174028744,1.219978295,68100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,4.0,4.0,7,6,0,0,3,-2,0,0,0
2011,1.405411682,1.460417181,68100,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,5.0,7.0,9,6,1,0,3,-2,0,0,0
2011,,1.060757901,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,1,3,0,0,3,1,0,0,0
2011,1.814715931,1.885740924,-2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,5.0,3.0,-2,4,0,0,3,-2,0,0,0
2011,1.351158875,1.404041008,68100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3.0,4.0,7,5,0,0,3,-2,0,0,0
2011,1.653158243,1.717860134,3467,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,3.0,3.0,5,3,0,0,3,2,0,0,0
2011,1.392473269,1.446972379,68100,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,2.0,4.0,9,5,0,0,3,-2,0,0,0
2011,1.405411682,1.460417181,68100,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,5.0,3.0,7,4,0,0,3,-2,0,0,0
2011,1.405411682,1.460417181,68100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.0,3.0,7,6,0,0,3,-2,0,0,0
2011,1.278049487,1.328070239,3467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,1.0,5,3,0,0,3,-2,0,0,0
2011,,1.165379539,3467,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,1.0,5,3,0,0,3,1,0,0,0
2011,,1.165379539,-2,0.0,0.0,1.0,1.0,-2.0,0.0,-1.0,1,7.0,3.0,-1,6,0,0,3,4,0,0,0
2011,1.405411682,1.460417181,68100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,2.0,6,4,1,0,3,1,0,0,0
2011,1.814715931,1.885740924,68100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,5.0,4.0,7,5,0,0,3,1,0,0,0
2011,1.351158875,1.404041008,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,-2.0,-2,-2,0,0,3,1,0,0,0
2011,2.920066031,3.034352606,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2.0,3.0,-2,2,0,0,3,1,0,0,0
2011,1.814715931,1.885740924,-2,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2,5.0,5.0,-2,4,0,0,3,1,0,0,0
2011,1.091209615,1.133917763,3467,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2,6.0,1.0,5,4,0,0,3,-2,0,0,0
2011,1.351158875,1.404041008,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3.0,1.0,5,6,0,0,3,-2,0,0,0
2011,1.653158243,1.717860134,-2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,3.0,3.0,-2,4,0,0,3,1,1,0,1
2011,2.920066031,3.034352606,-2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,2.0,3.0,-1,2,0,0,3,1,0,0,0
2011,1.011199674,1.050776363,68100,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,4.0,4.0,7,5,0,0,3,-2,0,0,0
2011,1.011199674,1.050776363,68100,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,4.0,2.0,7,6,0,0,3,-2,1,0,1
2011,1.011199674,1.050776363,68100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,4.0,3.0,6,5,0,0,3,1,0,0,0
2011,1.278049487,1.328070239,33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,2,3,1,0,3,1,0,0,0
2011,1.011199674,1.050776363,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4.0,2.0,7,2,1,0,3,1,0,0,0
2011,1.174028744,1.219978295,3467,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,4.0,4.0,5,6,0,0,3,1,0,0,0
2011,1.091209615,1.133917763,3467,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,2,6.0,2.0,5,2,0,0,3,1,0,0,0
2011,1.814715931,1.885740924,68100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,5.0,4.0,7,5,0,0,3,1,1,0,1
2011,1.814715931,1.885740924,68100,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,5.0,4.0,7,5,0,0,3,1,0,0,0
2011,1.091209615,1.133917763,68100,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2,6.0,2.0,6,3,0,0,3,1,1,0,1
2011,1.653158243,1.717860134,68100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,3.0,6.0,8,4,1,0,3,1,0,0,0
2011,1.405411682,1.460417181,68100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,3.0,9,5,0,0,3,4,0,0,0
2011,1.653158243,1.717860134,68100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3.0,7.0,6,4,0,0,3,-2,0,0,0
2011,,1.165379539,-2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,1.0,-2,-2,0,0,3,-2,0,0,0
2011,1.011199674,1.050776363,68100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,4.0,4.0,6,6,1,0,3,1,0,0,0
2011,1.814715931,1.885740924,68100,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,5.0,6.0,9,5,1,0,3,1,0,0,0
2011,1.011199674,1.050776363,3467,1.0,1.0,-1.0,0.0,1.0,0.0,0.0,1,4.0,4.0,5,5,0,0,3,1,1,1,0
2011,,1.165379539,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,3.0,-2,5,0,0,3,-2,0,0,0
2011,,1.060757901,68100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,6,5,0,0,3,4,0,0,0
2011,1.392473269,1.446972379,3467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.0,4.0,4,3,0,0,3,1,0,0,0
2011,,1.060757901,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,7.0,2.0,-2,-1,0,0,3,2,0,0,0
2011,1.351158875,1.404041008,68100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,3.0,2.0,7,3,0,0,3,1,0,0,0
2011,1.174028744,1.219978295,68100,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,2,4.0,4.0,6,-1,0,0,3,1,0,0,0
2011,1.278049487,1.328070239,68100,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,6.0,2.0,7,5,0,0,3,1,0,0,0
2011,1.174028744,1.219978295,68100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,4.0,2.0,7,5,0,0,3,1,0,0,0
2011,,1.060757901,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,7.0,1.0,1,3,0,0,3,1,0,0,0
2011,1.174028744,1.219978295,3467,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,2,4.0,3.0,5,5,0,0,3,1,0,0,0
2011,1.351158875,1.404041008,3467,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,6.0,4,6,0,0,3,1,1,0,1
2011,1.392473269,1.446972379,68100,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,2.0,3.0,6,3,0,0,3,4,1,0,1
2011,1.278049487,1.328070239,68100,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,6.0,5.0,7,6,1,0,3,1,0,0,0
2011,,1.060757901,33,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,3,3,0,0,3,1,0,0,0
2011,1.392473269,1.446972379,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2.0,4.0,4,4,0,0,3,1,0,0,0
2011,1.174028744,1.219978295,33,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2,4.0,1.0,1,6,0,0,3,1,0,0,0
2011,1.174028744,1.219978295,-2,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2,4.0,6.0,-2,-2,0,0,3,-2,0,0,0
2011,,1.060757901,68100,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,7.0,2.0,6,-1,0,0,3,1,0,0,0
2011,1.278049487,1.328070239,68100,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,6.0,2.0,7,6,0,0,3,1,0,0,0
2011,1.011199674,1.050776363,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,4.0,2.0,3,3,0,0,3,1,0,0,0
2011,1.091209615,1.133917763,68100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,6.0,3.0,8,4,0,0,3,2,0,0,0
2011,1.278049487,1.328070239,3467,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,6.0,2.0,5,2,0,0,3,1,0,0,0
2011,1.174028744,1.219978295,3467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,4.0,2.0,5,3,0,0,3,1,0,0,0
2011,1.405411682,1.460417181,33,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,2.0,3,3,0,0,3,-2,0,0,0
2011,1.392473269,1.446972379,3467,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,2.0,1.0,4,5,0,1,3,1,0,0,0
2011,1.174028744,1.219978295,-2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,4.0,-2.0,-2,-2,0,0,3,-2,0,0,0
2011,1.278049487,1.328070239,-2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,6.0,2.0,-2,3,0,0,3,-2,0,0,0
2011,,1.165379539,3467,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,7.0,3.0,5,2,0,0,3,1,0,0,0
2011,1.814715931,1.885740924,68100,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,5.0,4.0,9,6,0,0,3,1,0,0,0
2011,1.653158243,1.717860134,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3.0,4.0,5,4,0,0,3,1,0,0,0
2011,,1.060757901,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,1,2,0,0,3,1,0,0,0
2011,1.011199674,1.050776363,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,4.0,-2,2,0,0,3,-2,0,0,0
2011,1.011199674,1.050776363,3467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,2.0,5,3,0,0,3,1,0,0,0
2011,,1.165379539,3467,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,7.0,2.0,4,3,0,0,3,1,0,0,0
2011,1.174028744,1.219978295,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,2.0,-1,3,0,0,3,2,0,0,0
2011,,1.060757901,33,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,2,3,0,0,3,-2,0,0,0
2011,,1.060757901,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,7.0,1.0,1,3,0,0,3,1,0,0,0
2011,1.278049487,1.328070239,33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,6.0,1.0,1,3,0,0,3,2,0,0,0
2011,,1.060757901,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,7.0,1.0,-2,3,0,0,3,1,0,0,0
2011,,1.165379539,3467,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,1.0,4,5,0,0,3,1,1,0,1
2011,1.814715931,1.885740924,3467,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,5.0,2.0,4,3,0,0,3,1,0,0,0
2011,,1.165379539,68100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0,2.0,8,5,0,0,3,1,0,0,0
2011,1.278049487,1.328070239,68100,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,1,6.0,4.0,8,3,0,0,3,1,0,0,0
2011,,1.165379539,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,7.0,1.0,3,2,0,0,3,2,0,0,0
2011,,1.060757901,3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,4,-1,0,0,3,1,0,0,0
2011,,1.060757901,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,2,2,0,0,3,1,0,0,0
2011,1.814715931,1.885740924,68100,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2,5.0,4.0,7,6,0,0,3,2,1,0,1
2011,1.278049487,1.328070239,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,-2,5,1,0,3,1,0,0,0
2011,1.814715931,1.885740924,33,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5.0,1.0,3,3,0,0,3,1,0,0,0
2011,,1.165379539,3467,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1,7.0,2.0,5,4,0,0,3,1,0,0,0
2011,1.091209615,1.133917763,33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,6.0,2.0,3,3,0,0,3,1,0,0,0
2011,1.091209615,1.133917763,3467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,6.0,2.0,5,3,0,0,3,1,0,0,0
2011,,1.060757901,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,1,1,0,0,3,4,0,0,0
2011,,1.165379539,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,1.0,1,3,0,0,3,1,0,0,0
2011,1.814715931,1.885740924,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,5.0,2.0,-2,2,0,1,3,1,0,0,0
2011,1.091209615,1.133917763,3467,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,6.0,3.0,5,3,0,0,3,1,0,0,0
2011,1.091209615,1.133917763,-2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,6.0,3.0,-2,4,0,0,3,1,0,0,0
2011,,1.060757901,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,7.0,1.0,2,3,0,0,3,2,0,0,0
