yrsurv,WEIGHT_L,WEIGHT_A,GEMHHINC,knowent,opport,suskill,fearfail,futsup,discent,busang,gender,age9c,hhsize,ushhinc,usreduc,ESTBBUSO,IPACTLD_ALL,Region,race,TEA,TEANEC,TEAOPP
2011,0.6885632225,0.715512453,68100,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,4.0,4.0,7,6,0,0,9,1,1,0,1
2011,0.9180567386,0.9539879674,-2,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,2,5.0,2.0,-1,2,0,0,9,4,0,0,0
2011,,0.619300035,33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,2,3,0,0,9,1,0,0,0
2011,0.6885632225,0.715512453,33,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,4.0,4.0,3,3,0,0,9,1,0,0,0
2011,0.6885632225,0.715512453,68100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,4.0,2.0,6,4,0,0,9,-2,0,0,0
2011,0.7040606482,0.7316164225,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,6.0,1.0,2,3,0,0,9,-2,0,0,0
2011,0.7040606482,0.7316164225,68100,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,6.0,1.0,7,6,1,0,9,1,0,0,0
2011,0.8475665269,0.8807388849,68100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,4.0,2.0,7,6,1,1,9,1,0,0,0
2011,,0.7386178966,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,7.0,1.0,-2,3,0,0,9,1,0,0,0
2011,0.7434636278,0.7725615698,33,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,2.0,4.0,3,3,0,0,9,-2,0,0,0
2011,0.6435343874,0.6687212634,-2,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,2,6.0,1.0,-2,6,0,0,9,1,0,0,0
2011,0.6885632225,0.715512453,-2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,4.0,2.0,-2,4,0,0,9,-2,1,1,0
2011,,0.619300035,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0,2.0,-2,3,0,0,9,-2,0,0,0
2011,,0.7386178966,-2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,-2,2,0,0,9,1,0,0,0
2011,0.7856151061,0.8163627875,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,3.0,1.0,1,4,0,0,9,4,0,0,0
2011,,0.7386178966,68100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,7.0,3.0,6,2,0,0,9,-2,0,0,0
2011,,0.7386178966,3467,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,2,7.0,1.0,5,5,0,0,9,-2,0,0,0
2011,0.7856151061,0.8163627875,33,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,3.0,4.0,3,5,0,0,9,-2,0,0,0
2011,0.7856151061,0.8163627875,3467,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,3.0,4.0,4,3,0,0,9,-2,1,0,1
2011,0.7856151061,0.8163627875,33,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,3.0,2.0,3,4,0,0,9,2,0,0,0
2011,,0.619300035,68100,1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1,7.0,3.0,9,5,0,0,9,-2,0,0,0
2011,,0.7386178966,33,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2,7.0,2.0,3,3,0,0,9,1,0,0,0
2011,,0.7386178966,-2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,-2,1,0,0,9,4,0,0,0
2011,,0.7386178966,33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,7.0,1.0,2,3,0,0,9,1,0,0,0
2011,0.9360577428,0.9726935012,33,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2,3.0,4.0,1,3,0,0,9,-2,0,0,0
2011,0.6885632225,0.715512453,3467,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,4.0,7.0,5,3,0,0,9,4,0,0,0
2011,,0.7386178966,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,7.0,2.0,-1,4,0,0,9,4,0,0,0
2011,0.8475665269,0.8807388849,3467,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2,4.0,5.0,5,5,0,0,9,1,0,0,0
2011,0.8475665269,0.8807388849,68100,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,2,4.0,4.0,7,6,0,0,9,-2,0,0,0
2011,0.6885632225,0.715512453,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,4.0,5.0,5,3,0,0,9,2,0,0,0
2011,0.6435343874,0.6687212634,33,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2,6.0,1.0,2,4,0,0,9,-2,0,0,0
2011,,0.619300035,-2,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1,7.0,1.0,-1,5,0,0,9,-2,0,0,0
2011,0.8046685028,0.8361619027,-2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5.0,1.0,-2,6,0,0,9,1,0,0,0
2011,0.7856151061,0.8163627875,3467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3.0,5.0,5,2,0,0,9,1,0,0,0
2011,0.7856151061,0.8163627875,3467,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,3.0,4.0,5,5,0,0,9,-2,0,0,0
2011,,0.619300035,-2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,7.0,2.0,-1,6,0,0,9,4,0,0,0
2011,0.7856151061,0.8163627875,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,2.0,1,6,0,0,9,1,0,0,0
2011,,0.7386178966,-2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,2.0,-2,3,0,0,9,-2,0,0,0
2011,0.7040606482,0.7316164225,3467,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,6.0,4.0,5,4,0,0,9,-2,0,0,0
2011,,0.7386178966,3467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,7.0,2.0,4,2,0,0,9,1,0,0,0
2011,0.8046685028,0.8361619027,-2,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,1,5.0,10.0,-1,6,0,0,9,-2,0,0,0
2011,,0.619300035,3467,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,7.0,2.0,4,6,0,0,9,1,0,0,0
2011,0.7434636278,0.7725615698,68100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.0,6.0,6,3,0,0,9,-2,0,0,0
2011,0.7040606482,0.7316164225,68100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,8,5,1,0,9,-2,0,0,0
2011,0.6435343874,0.6687212634,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,1.0,1,5,0,0,9,1,0,0,0
2011,0.8046685028,0.8361619027,-2,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,6.0,-2,6,1,0,9,1,0,0,0
2011,0.6435343874,0.6687212634,-2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,6.0,2.0,-2,6,1,0,9,-2,0,0,0
2011,0.8046685028,0.8361619027,-2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,5.0,1.0,-1,2,0,0,9,-2,0,0,0
2011,0.9180567386,0.9539879674,68100,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2,5.0,3.0,6,4,0,0,9,1,1,0,0
2011,,0.619300035,33,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1,7.0,1.0,2,6,0,0,9,1,0,0,0
2011,0.7856151061,0.8163627875,-2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,1.0,-2,6,0,0,9,-2,0,0,0
2011,0.8046685028,0.8361619027,33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5.0,2.0,2,2,0,0,9,-2,0,0,0
2011,0.9180567386,0.9539879674,68100,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,5.0,2.0,7,5,0,0,9,-2,0,0,0
2011,0.8475665269,0.8807388849,3467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,4.0,5.0,4,4,0,0,9,-2,0,0,0
2011,,0.7386178966,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,7.0,1.0,5,4,0,0,9,1,0,0,0
2011,0.7434636278,0.7725615698,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,5.0,1,4,0,0,9,-2,0,0,0
2011,0.6885632225,0.715512453,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,4.0,2.0,4,2,0,0,9,1,0,0,0
2011,,0.7386178966,33,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,7.0,2.0,3,2,0,0,9,1,0,0,0
2011,0.6435343874,0.6687212634,68100,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2,6.0,4.0,9,5,1,0,9,-2,0,0,0
2011,0.8475665269,0.8807388849,-2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,4.0,2.0,-1,2,0,0,9,1,0,0,0
2011,0.8046685028,0.8361619027,33,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,5.0,2.0,2,3,0,0,9,1,1,0,1
2011,0.6885632225,0.715512453,68100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4.0,4.0,9,6,0,1,9,-2,1,0,1
2011,0.8475665269,0.8807388849,3467,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2,4.0,6.0,5,3,0,0,9,-2,0,0,0
2011,0.9360577428,0.9726935012,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3.0,3.0,7,4,0,0,9,1,1,0,0
2011,0.6885632225,0.715512453,3467,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,4.0,4.0,5,3,1,0,9,-2,0,0,0
2011,0.9180567386,0.9539879674,68100,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,5.0,3.0,7,5,1,1,9,1,0,0,0
2011,,0.619300035,3467,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,1.0,4,4,0,0,9,-2,0,0,0
2011,0.9139877023,0.9497596756,68100,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,2.0,5.0,9,4,0,0,9,1,1,0,1
2011,0.9180567386,0.9539879674,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.0,1.0,1,6,0,0,9,1,0,0,0
2011,0.7040606482,0.7316164225,3467,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,6.0,3.0,4,3,0,0,9,-2,0,0,0
2011,0.8475665269,0.8807388849,3467,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,4.0,1.0,5,6,0,0,9,1,0,0,0
2011,0.6885632225,0.715512453,68100,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1,4.0,5.0,7,3,0,0,9,-2,0,0,0
2011,0.7434636278,0.7725615698,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.0,-1,3,0,0,9,-2,0,0,0
2011,0.7434636278,0.7725615698,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2.0,1.0,-2,3,0,0,9,-2,0,0,0
2011,0.9360577428,0.9726935012,68100,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,2,3.0,5.0,7,6,0,0,9,1,0,0,0
2011,0.7040606482,0.7316164225,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,2.0,3,4,0,0,9,-2,0,0,0
2011,0.7856151061,0.8163627875,68100,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,2.0,7,4,0,0,9,-2,0,0,0
2011,,0.619300035,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0,1.0,2,4,0,0,9,-2,0,0,0
2011,0.6885632225,0.715512453,-2,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,1,4.0,2.0,-2,6,0,1,9,1,0,0,0
2011,0.7856151061,0.8163627875,68100,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1,3.0,2.0,6,-1,0,0,9,-2,0,0,0
2011,0.6885632225,0.715512453,68100,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,4.0,1.0,9,5,0,1,9,2,1,0,1
2011,0.7856151061,0.8163627875,3467,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,3.0,3.0,4,3,0,0,9,-2,1,0,1
2011,0.6435343874,0.6687212634,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,1.0,1,6,0,0,9,4,0,0,0
2011,,0.619300035,-2,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1,7.0,-2.0,-2,3,1,0,9,1,0,0,0
2011,0.7856151061,0.8163627875,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3,3,0,0,9,-2,0,0,0
2011,0.8046685028,0.8361619027,68100,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,5.0,5.0,8,3,0,0,9,-2,1,0,1
2011,,0.619300035,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,6,4,1,0,9,1,0,0,0
2011,,0.7386178966,-2,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,2,7.0,1.0,-1,4,0,0,9,1,0,0,0
2011,,0.619300035,33,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1,7.0,2.0,1,4,0,0,9,1,0,0,0
2011,0.7434636278,0.7725615698,68100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,2.0,1.0,6,4,1,0,9,-2,0,0,0
2011,0.8475665269,0.8807388849,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,4.0,2.0,3,4,0,0,9,-2,0,0,0
2011,0.6885632225,0.715512453,68100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,4.0,5.0,7,5,0,0,9,4,0,0,0
2011,0.6435343874,0.6687212634,68100,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,2,6.0,3.0,6,5,0,0,9,-2,0,0,0
2011,0.7040606482,0.7316164225,68100,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,9,5,0,0,9,1,0,0,0
2011,0.9360577428,0.9726935012,33,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2,3.0,2.0,2,5,0,0,9,-2,0,0,0
2011,0.6435343874,0.6687212634,68100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,6.0,3.0,6,5,0,0,9,1,0,0,0
2011,,0.7386178966,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,7.0,1.0,1,3,0,0,9,4,0,0,0
2011,0.7434636278,0.7725615698,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.0,1,5,0,0,9,-2,0,0,0
2011,0.9360577428,0.9726935012,33,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2,3.0,5.0,3,4,0,0,9,-2,1,0,1
2011,0.7040606482,0.7316164225,68100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,6.0,2.0,7,6,0,0,9,1,0,0,0
2011,,0.619300035,68100,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,7.0,3.0,7,6,0,0,9,4,0,0,0
2011,0.7040606482,0.7316164225,68100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,6.0,4.0,8,5,0,0,9,-2,0,0,0
2011,0.8475665269,0.8807388849,-2,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,2,4.0,1.0,-2,5,0,1,9,1,0,0,0
2011,0.8046685028,0.8361619027,3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,3.0,4,3,0,0,9,-2,0,0,0
2011,0.8046685028,0.8361619027,68100,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,5.0,1.0,7,4,0,0,9,1,1,0,1
2011,0.7040606482,0.7316164225,68100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,1.0,6,4,1,0,9,4,0,0,0
2011,0.7040606482,0.7316164225,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,6.0,2.0,4,2,0,0,9,1,0,0,0
2011,0.9139877023,0.9497596756,33,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2,2.0,3.0,1,3,0,0,9,-2,0,0,0
2011,,0.619300035,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,7.0,2.0,3,6,0,0,9,1,0,0,0
2011,0.7856151061,0.8163627875,33,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,4.0,3,-1,0,0,9,-2,0,0,0
2011,0.8046685028,0.8361619027,3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,2.0,5,4,0,0,9,-2,0,0,0
2011,0.9139877023,0.9497596756,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,5.0,2,4,0,0,9,-2,0,0,0
2011,0.6435343874,0.6687212634,-2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,6.0,4.0,-1,2,0,0,9,1,0,0,0
2011,0.6885632225,0.715512453,68100,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,4.0,3.0,9,4,1,0,9,1,1,0,1
2011,0.7040606482,0.7316164225,68100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,4.0,8,3,0,0,9,-2,0,0,0
2011,0.7434636278,0.7725615698,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2.0,3.0,2,4,0,0,9,-2,0,0,0
2011,0.7040606482,0.7316164225,68100,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,6.0,2.0,7,-1,0,0,9,1,0,0,0
2011,,0.7386178966,-2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,7.0,2.0,-2,2,0,0,9,1,0,0,0
2011,,0.619300035,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,-2,6,0,0,9,1,0,0,0
2011,,0.7386178966,33,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.0,1,3,0,0,9,1,0,0,0
2011,0.8046685028,0.8361619027,68100,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,5.0,4.0,8,5,0,0,9,1,0,0,0
2011,0.6435343874,0.6687212634,68100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,6.0,2.0,6,3,0,0,9,1,0,0,0
2011,0.6435343874,0.6687212634,68100,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,2,6.0,1.0,6,6,0,0,9,1,1,0,1
2011,0.6885632225,0.715512453,3467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,4.0,1.0,5,4,0,0,9,1,0,0,0
2011,0.7040606482,0.7316164225,33,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1,6.0,1.0,1,4,0,0,9,2,0,0,0
2011,,0.619300035,68100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,9,6,1,0,9,1,0,0,0
2011,0.9180567386,0.9539879674,-2,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2,5.0,3.0,-2,4,0,0,9,-2,0,0,0
2011,0.7856151061,0.8163627875,-2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3.0,2.0,-2,5,0,0,9,1,0,0,0
2011,0.8046685028,0.8361619027,68100,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,5.0,3.0,6,5,0,0,9,-2,0,0,0
2011,0.6435343874,0.6687212634,3467,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,6.0,2.0,5,5,0,1,9,1,0,0,0
2011,0.8046685028,0.8361619027,3467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5.0,2.0,4,3,0,0,9,-2,0,0,0
2011,0.9360577428,0.9726935012,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3.0,1.0,2,4,0,0,9,-2,0,0,0
2011,0.9180567386,0.9539879674,3467,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,5.0,1.0,5,-1,1,0,9,1,0,0,0
2011,0.6885632225,0.715512453,68100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4.0,4.0,7,4,0,1,9,1,0,0,0
2011,,0.7386178966,-2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2,7.0,1.0,-2,4,0,0,9,1,0,0,0
2011,0.6435343874,0.6687212634,33,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,2,6.0,1.0,1,6,0,0,9,1,0,0,0
2011,0.7040606482,0.7316164225,68100,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,1,6.0,2.0,8,6,0,0,9,-2,0,0,0
2011,0.7856151061,0.8163627875,33,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,3.0,6.0,3,2,0,1,9,1,0,0,0
2011,0.6435343874,0.6687212634,33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,6.0,1.0,3,4,0,0,9,1,0,0,0
2011,0.7040606482,0.7316164225,68100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,6,4,0,0,9,-2,0,0,0
2011,,0.619300035,3467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7.0,2.0,4,3,0,0,9,1,0,0,0
2011,0.7040606482,0.7316164225,68100,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,6.0,2.0,7,6,0,0,9,-2,0,0,0
2011,0.9139877023,0.9497596756,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,8.0,1,-1,0,0,9,-2,0,0,0
